id,latitude,longitude,neighbourhood_cleansed
958,37.76931,-122.43386,Western Addition
5858,37.74511,-122.42102,Bernal Heights
7918,37.76555,-122.45213,Haight Ashbury
8142,37.76555,-122.45213,Haight Ashbury
8339,37.77525,-122.43637,Western Addition
8739,37.7603,-122.42197,Mission
9225,37.76259,-122.40543,Potrero Hill
10251,37.75831,-122.41386,Mission
10578,37.79143,-122.41544,Nob Hill
10820,37.77187,-122.43859,Haight Ashbury
10824,37.77355,-122.42436,Western Addition
10832,37.78574,-122.40798,Downtown/Civic Center
12041,37.76901,-122.44701,Haight Ashbury
12042,37.76932,-122.44723,Haight Ashbury
12522,37.76075,-122.43032,Castro/Upper Market
12584,37.76203,-122.45455,Inner Sunset
18231,37.74888,-122.42982,Noe Valley
18904,37.77252,-122.43216,Western Addition
21334,37.7958,-122.41533,Nob Hill
21914,37.76555,-122.45213,Haight Ashbury
23630,37.75963,-122.44143,Castro/Upper Market
24463,37.75645,-122.3991,Potrero Hill
24685,37.77162,-122.43836,Haight Ashbury
25094,37.74188,-122.43122,Noe Valley
25463,37.77729,-122.43421,Western Addition
25662,37.76212,-122.39541,Potrero Hill
26408,37.77478,-122.4315,Western Addition
27025,37.76298,-122.43136,Castro/Upper Market
27028,37.76005,-122.42208,Mission
29373,37.73729,-122.41163,Bernal Heights
29557,37.77931,-122.50518,Outer Richmond
32414,37.74025,-122.41259,Bernal Heights
33578,37.76451,-122.39643,Potrero Hill
39174,37.7483,-122.42488,Noe Valley
39418,37.74093,-122.42055,Bernal Heights
40092,37.76016,-122.41969,Mission
40138,37.78255,-122.44844,Presidio Heights
41055,37.76125,-122.43335,Castro/Upper Market
41172,37.74132,-122.41818,Bernal Heights
41399,37.75611,-122.41866,Mission
41423,37.73557,-122.43302,Glen Park
41609,37.79001,-122.41292,Nob Hill
42577,37.75447,-122.38813,Potrero Hill
44032,37.75145,-122.41207,Mission
45299,37.76068,-122.43331,Castro/Upper Market
47486,37.72536,-122.46861,Ocean View
47682,37.7925,-122.42431,Pacific Heights
51557,37.77121,-122.42834,Western Addition
51773,37.79312,-122.426,Pacific Heights
53280,37.73878,-122.41189,Bernal Heights
53934,37.78775,-122.41634,Downtown/Civic Center
54518,37.7933,-122.40079,Financial District
54634,37.79166,-122.4265,Pacific Heights
55632,37.77959,-122.48619,Outer Richmond
55636,37.74889,-122.44479,Twin Peaks
56621,37.79216,-122.42458,Pacific Heights
57479,37.77459,-122.43923,Haight Ashbury
57561,37.7472,-122.41443,Bernal Heights
57676,37.75762,-122.41933,Mission
58185,37.75504,-122.45871,Inner Sunset
59314,37.77698,-122.41047,South of Market
59381,37.8031,-122.41596,Russian Hill
59702,37.74209,-122.41409,Bernal Heights
59831,37.75674,-122.49178,Outer Sunset
60365,37.77034,-122.43594,Western Addition
62519,37.74183,-122.42993,Glen Park
62651,37.76314,-122.42468,Mission
63247,37.74926,-122.41398,Mission
64165,37.80317,-122.42874,Marina
66119,37.77798,-122.47812,Inner Richmond
66188,37.77719,-122.50906,Outer Richmond
68239,37.75426,-122.42387,Mission
69410,37.77442,-122.46319,Inner Richmond
69681,37.77707,-122.50923,Seacliff
70139,37.74527,-122.42424,Bernal Heights
70284,37.79364,-122.40635,Chinatown
70753,37.7937,-122.40417,Financial District
71645,37.74578,-122.40841,Bernal Heights
71779,37.77625,-122.46466,Inner Richmond
72365,37.77489,-122.4322,Western Addition
72444,37.7937,-122.40417,Financial District
72921,37.77487,-122.43221,Western Addition
74451,37.77497,-122.4323,Western Addition
77175,37.73838,-122.43375,Glen Park
78651,37.75615,-122.41927,Mission
