id,distance,duration
958,14,3
5858,366,91
7918,45,8
8142,45,8
8339,102,27
8739,229,64
9225,2492,350
10251,405,100
10578,455,104
10820,209,52
10824,810,221
10832,233,73
12041,22,4
12042,36,7
12522,48,9
12584,686,154
18231,257,52
18904,183,57
21334,16,3
21914,45,8
23630,155,63
24463,292,61
24685,178,44
25094,44,7
25463,175,58
25662,96,20
26408,388,74
27025,431,153
27028,241,67
29373,209,60
29557,68,32
32414,122,45
33578,169,58
39174,411,100
39418,77,15
40092,197,37
40138,607,114
41055,45,11
41172,302,72
41399,28,5
41423,262,49
41609,798,214
42577,397,131
44032,137,42
45299,47,11
47486,368,67
47682,440,126
51557,189,39
51773,276,58
53280,87,22
53934,316,92
54518,48,12
54634,78,20
55632,117,34
55636,19,3
56621,473,130
57479,189,85
57561,395,97
57676,61,12
58185,1386,234
59314,163,46
59381,145,46
59702,997,217
59831,660,117
60365,207,62
62519,80,17
62651,250,48
63247,108,27
64165,157,30
66119,157,30
66188,249,70
68239,323,93
69410,179,37
69681,232,64
70139,421,76
70284,754,238
70753,58,18
71645,324,75
71779,225,69
72365,167,36
72444,58,18
72921,166,36
74451,160,36
77175,145,20
78651,37,6
80394,173,25
81158,51,12
81535,1396,320
83553,243,62
84777,59,9
87640,236,47
91957,30,5
96383,20,5
99094,472,111
102951,516,157
105497,990,141
109883,393,71
110825,226,39
114401,47,10
115242,148,45
121065,144,57
126046,233,40
128230,142,42
130775,45,8
130805,270,106
132441,375,106
134015,224,47
134193,7,1
137129,349,105
137672,581,124
138592,84,14
138619,8,1
138772,234,48
142177,155,42
144043,1573,259
144242,578,138
144978,435,107
147443,988,233
148559,42,7
148627,58,33
148769,2795,450
150347,82,31
150848,105,17
164207,25,5
166199,134,41
166771,89,14
175090,548,160
175102,413,103
177137,55,20
183859,504,122
191632,44,8
199480,616,150
201313,2093,428
201579,234,65
206566,795,203
206634,841,239
206637,72,31
207980,596,84
208714,166,41
208727,183,47
208831,131,38
209514,289,58
211117,167,34
212783,163,41
213532,118,33
216042,717,162
217106,33,6
220418,124,35
221342,189,68
224579,331,117
225933,85,17
229240,58,18
229319,186,64
231129,415,77
231752,443,105
232060,28,5
238190,125,35
238204,7,2
241235,58,18
244361,152,58
245339,35,10
256176,143,30
258786,156,40
259621,58,18
259622,58,18
259919,60,11
269463,175,38
271602,373,140
271647,178,37
273530,477,100
274334,63,18
277339,108,41
279184,59,19
280549,512,95
280673,342,67
284117,174,41
285499,536,103
286311,684,130
288213,252,64
295240,70,28
307837,45,8
308885,314,98
314248,11,3
314368,7,1
323635,147,51
325478,274,71
326650,78,18
329020,161,52
330535,466,143
334339,395,79
334886,59,21
338849,1146,207
342420,190,39
344621,126,51
345760,144,37
348580,264,77
350479,38,7
351881,30,4
353292,157,33
364023,4,1
364397,198,69
366541,29,8
371595,804,170
374997,111,14
377569,93,21
379255,414,95
379349,176,38
379418,547,147
392543,195,32
400433,274,60
408471,159,41
413663,445,82
415498,622,197
423300,181,57
424846,74,25
430692,162,46
431632,679,165
431862,57,16
435389,750,240
435390,763,255
435391,788,264
437385,137,31
438940,343,105
438967,123,39
439703,44,11
442349,410,139
442397,187,44
444675,357,94
450992,160,36
455783,135,31
456264,27,7
457862,177,36
457986,38,11
459806,45,8
459990,65,11
465723,441,91
467507,305,53
468490,288,69
468751,829,178
470686,1140,275
474001,841,239
474107,157,24
479415,90,21
482592,360,100
485286,193,101
487019,254,66
487499,85,20
491867,317,78
491874,62,12
493889,116,87
494111,3,0
496226,144,28
496246,205,53
499096,365,90
501770,181,45
503362,646,154
504146,112,31
505530,2534,301
505763,73,11
515260,224,60
515524,453,113
516836,156,56
517803,266,50
519796,434,126
522089,263,64
522273,237,84
527226,154,38
530857,341,69
531151,19,3
533627,132,33
545585,420,128
545685,3,0
555596,55,8
561148,157,46
562593,503,160
567239,124,24
568161,186,68
571042,372,55
571142,55,8
576018,341,90
578097,117,25
580106,189,56
582335,444,102
585326,45,7
589676,202,39
589767,33,13
591524,438,115
592883,16,3
593253,7,2
594387,69,11
596042,381,104
598271,149,55
602036,219,61
604221,324,95
604843,162,46
604999,446,102
607500,81,17
616204,423,159
616517,982,202
626349,223,76
627358,1392,196
631635,32,4
631658,148,55
631735,53,8
632303,939,137
633629,92,19
635850,611,134
640605,435,103
640895,858,282
642672,394,66
643918,363,98
644091,161,30
646275,338,97
647360,712,143
648086,193,44
651624,272,75
654279,1430,234
655326,853,162
662754,59,15
663623,57,11
664307,65,14
664315,217,84
666620,38,15
671513,16,3
677207,445,104
678556,207,72
680288,144,73
686677,13,4
691023,0,0
699723,335,105
708731,171,39
713877,152,36
715543,245,58
715754,588,101
719431,156,36
720811,209,45
723257,187,39
725300,494,85
726657,231,45
727866,224,34
727969,436,103
728585,64,10
728884,41,17
730045,200,74
732779,549,156
734801,138,37
734839,85,20
738493,217,69
738547,186,44
741327,656,115
746079,389,55
748222,167,43
749744,166,46
749990,168,33
752607,97,33
754117,67,18
758815,183,46
760794,1056,203
765914,246,64
766516,35,13
767506,355,144
770991,398,87
774323,152,30
776239,96,10
778520,251,55
779109,104,39
781945,1388,270
783135,90,30
783821,28,6
785901,57,18
786492,57,18
786506,57,18
792370,91,39
794626,136,25
794649,170,32
795254,97,23
797887,505,125
806199,495,122
808919,88,26
810315,160,29
811374,183,37
819856,35,13
829185,1119,286
830330,58,19
830576,383,127
830997,52,14
833149,120,18
837045,150,43
840986,469,136
845480,478,76
845501,179,40
845502,209,60
848578,106,21
851889,575,152
856123,49,11
857179,97,15
859310,239,76
862201,30,51
862220,97,14
862254,810,171
863987,45,27
865873,128,45
867499,845,199
867530,153,32
870532,239,60
870705,377,103
872202,26,4
872246,108,36
873705,351,66
878935,193,87
881105,408,93
883937,280,48
884770,138,28
890875,76,18
900393,272,73
900941,152,45
902435,285,66
905399,20,5
905902,717,98
909063,719,174
913169,989,164
